Train: total=51501 -> class0=26021, class1=25480
Test:  total=17166 -> class0=8673, class1=8493
Train class0 ratio = 75.00%
Train class1 ratio = 75.00%
Enter the number of hidden layers: 2
Enter the number of neurons in hidden layer 1: 32
Enter the number of neurons in hidden layer 2: 16
Iter 348   J = 0.64692   Acc_train = 61.9114 %
Iter 349   J = 0.64679   Acc_train = 61.9367 %
Iter 350   J = 0.64666   Acc_train = 61.9677 %
Iter 351   J = 0.64653   Acc_train = 61.9833 %
Iter 352   J = 0.6464   Acc_train = 61.9988 %
Iter 353   J = 0.64627   Acc_train = 62.024 %
Iter 354   J = 0.64615   Acc_train = 62.0454 %
Iter 355   J = 0.64602   Acc_train = 62.0842 %
Iter 356   J = 0.64589   Acc_train = 62.125 %
Iter 357   J = 0.64576   Acc_train = 62.1444 %
Iter 358   J = 0.64563   Acc_train = 62.1677 %
Iter 359   J = 0.6455   Acc_train = 62.2066 %
Iter 360   J = 0.64537   Acc_train = 62.2337 %
Iter 361   J = 0.64524   Acc_train = 62.2454 %
Iter 362   J = 0.64512   Acc_train = 62.2609 %
Iter 363   J = 0.64499   Acc_train = 62.2881 %
Iter 364   J = 0.64486   Acc_train = 62.3269 %
Iter 365   J = 0.64473   Acc_train = 62.3755 %
Iter 366   J = 0.6446   Acc_train = 62.4046 %
Iter 367   J = 0.64448   Acc_train = 62.424 %
Iter 368   J = 0.64435   Acc_train = 62.4648 %
Iter 369   J = 0.64422   Acc_train = 62.4998 %
Iter 370   J = 0.64409   Acc_train = 62.5172 %
Iter 371   J = 0.64397   Acc_train = 62.5425 %
Iter 372   J = 0.64384   Acc_train = 62.5716 %
Iter 373   J = 0.64371   Acc_train = 62.5988 %
Iter 374   J = 0.64358   Acc_train = 62.6279 %
Iter 375   J = 0.64346   Acc_train = 62.6473 %
Iter 376   J = 0.64333   Acc_train = 62.6803 %
Iter 377   J = 0.6432   Acc_train = 62.7192 %
Iter 378   J = 0.64307   Acc_train = 62.7541 %
Iter 379   J = 0.64295   Acc_train = 62.7716 %
Iter 380   J = 0.64282   Acc_train = 62.8027 %
Iter 381   J = 0.64269   Acc_train = 62.826 %
Iter 382   J = 0.64257   Acc_train = 62.857 %
Iter 383   J = 0.64244   Acc_train = 62.8473 %
Iter 384   J = 0.64231   Acc_train = 62.8706 %
Iter 385   J = 0.64219   Acc_train = 62.8764 %
Iter 386   J = 0.64206   Acc_train = 62.8803 %
Iter 387   J = 0.64193   Acc_train = 62.8997 %
Iter 388   J = 0.64181   Acc_train = 62.9328 %
Iter 389   J = 0.64168   Acc_train = 62.9425 %
Iter 390   J = 0.64156   Acc_train = 62.9735 %
Iter 391   J = 0.64143   Acc_train = 63.0221 %
Iter 392   J = 0.6413   Acc_train = 63.0745 %
Iter 393   J = 0.64118   Acc_train = 63.1192 %
Iter 394   J = 0.64105   Acc_train = 63.1658 %
Iter 395   J = 0.64093   Acc_train = 63.1794 %
Iter 396   J = 0.6408   Acc_train = 63.2182 %
Iter 397   J = 0.64068   Acc_train = 63.226 %
Iter 398   J = 0.64055   Acc_train = 63.2648 %
Iter 399   J = 0.64043   Acc_train = 63.2881 %
Iter 400   J = 0.6403   Acc_train = 63.2861 %
Iter 401   J = 0.64018   Acc_train = 63.323 %
Iter 402   J = 0.64005   Acc_train = 63.3347 %
Iter 403   J = 0.63993   Acc_train = 63.3735 %
Iter 404   J = 0.6398   Acc_train = 63.3852 %
Iter 405   J = 0.63968   Acc_train = 63.426 %
Iter 406   J = 0.63955   Acc_train = 63.457 %
Iter 407   J = 0.63943   Acc_train = 63.4881 %
Iter 408   J = 0.6393   Acc_train = 63.5153 %
Iter 409   J = 0.63918   Acc_train = 63.5522 %
Iter 410   J = 0.63905   Acc_train = 63.6026 %
Iter 411   J = 0.63893   Acc_train = 63.6279 %
Iter 412   J = 0.63881   Acc_train = 63.6376 %
Iter 413   J = 0.63868   Acc_train = 63.6531 %
Iter 414   J = 0.63856   Acc_train = 63.6842 %
Iter 415   J = 0.63843   Acc_train = 63.6997 %
Iter 416   J = 0.63831   Acc_train = 63.7133 %
Iter 417   J = 0.63819   Acc_train = 63.7308 %
Iter 418   J = 0.63806   Acc_train = 63.7599 %
Iter 419   J = 0.63794   Acc_train = 63.7755 %
Iter 420   J = 0.63782   Acc_train = 63.8065 %
Iter 421   J = 0.63769   Acc_train = 63.8376 %
Iter 422   J = 0.63757   Acc_train = 63.8648 %
Iter 423   J = 0.63745   Acc_train = 63.8823 %
Iter 424   J = 0.63732   Acc_train = 63.8628 %
Iter 425   J = 0.6372   Acc_train = 63.892 %
Iter 426   J = 0.63708   Acc_train = 63.9133 %
Iter 427   J = 0.63696   Acc_train = 63.9211 %
Iter 428   J = 0.63683   Acc_train = 63.9386 %
Iter 429   J = 0.63671   Acc_train = 63.9599 %
Iter 430   J = 0.63659   Acc_train = 63.9968 %
Iter 431   J = 0.63647   Acc_train = 64.0162 %
Iter 432   J = 0.63634   Acc_train = 64.0279 %
Iter 433   J = 0.63622   Acc_train = 64.0648 %
Iter 434   J = 0.6361   Acc_train = 64.0706 %
Iter 435   J = 0.63598   Acc_train = 64.1153 %
Iter 436   J = 0.63585   Acc_train = 64.1347 %
Iter 437   J = 0.63573   Acc_train = 64.1463 %
Iter 438   J = 0.63561   Acc_train = 64.1657 %
Iter 439   J = 0.63549   Acc_train = 64.1832 %
Iter 440   J = 0.63537   Acc_train = 64.1949 %
Iter 441   J = 0.63525   Acc_train = 64.2298 %
Iter 442   J = 0.63513   Acc_train = 64.2434 %
Iter 443   J = 0.635   Acc_train = 64.2706 %
Iter 444   J = 0.63488   Acc_train = 64.3269 %
Iter 445   J = 0.63476   Acc_train = 64.3405 %
Iter 446   J = 0.63464   Acc_train = 64.3716 %
Iter 447   J = 0.63452   Acc_train = 64.3968 %
Iter 448   J = 0.6344   Acc_train = 64.4221 %
Iter 449   J = 0.63428   Acc_train = 64.4628 %
Iter 450   J = 0.63416   Acc_train = 64.4628 %
Iter 451   J = 0.63404   Acc_train = 64.4881 %
Iter 452   J = 0.63392   Acc_train = 64.5269 %
Iter 453   J = 0.6338   Acc_train = 64.5483 %
Iter 454   J = 0.63368   Acc_train = 64.5619 %
Iter 455   J = 0.63356   Acc_train = 64.5657 %
Iter 456   J = 0.63344   Acc_train = 64.5774 %
Iter 457   J = 0.63332   Acc_train = 64.5871 %
Iter 458   J = 0.6332   Acc_train = 64.6026 %
Iter 459   J = 0.63308   Acc_train = 64.6337 %
Iter 460   J = 0.63296   Acc_train = 64.6318 %
Iter 461   J = 0.63284   Acc_train = 64.6473 %
Iter 462   J = 0.63272   Acc_train = 64.6512 %
Iter 463   J = 0.6326   Acc_train = 64.6842 %
Iter 464   J = 0.63248   Acc_train = 64.723 %
Iter 465   J = 0.63236   Acc_train = 64.7424 %
Iter 466   J = 0.63224   Acc_train = 64.7638 %
Iter 467   J = 0.63212   Acc_train = 64.7735 %
Iter 468   J = 0.632   Acc_train = 64.7716 %
